Repo Type,Repo Name,Filename,ML TD Type,ML Pipeline Stage,NLC,CS,TFI,ANL,ANC,AVT,AVM,Weighted Average
Application,OpenNMT/OpenNMT-py,onmt/decoders/decoder.py,Data Conf,Training,-0.0303150485104242,0.3365796917851321,-0.2079559352992341,-0.1753703445869163,-0.2768474567584322,-0.3097145399679227,0.6131146735347129,-0.007215565686154933
Application,ludwig-ai/ludwig,ludwig/data/preprocessing.py,UMC ,Data Pre,-0.6635627285059534,-0.3112216159044789,-0.2640277997686873,0.7879672002193491,0.1385111354903795,0.1363502402195664,0.0803391641183416,-0.013663486304497575
Application,pyro-ppl/pyro,pyro/infer/search.py,Data Conf,Data Pre,-0.4277790178693202,-0.2954215840096104,-0.3869924148332775,-0.60366500977781,-0.4782334408790683,-0.6157762649176273,0.6892254605941945,-0.3026631816703599
Application,pyro-ppl/pyro,pyro/distributions/planar.py,MCC,Data Pre,-0.447989050209603,0.3629130782765797,1.4328838881226582,-0.6726608069058263,-0.6859127370034742,-0.6922916961550535,0.1564499511778233,-0.07808676752812797
Application,astier/model-free-episodic-control,mfec/utils.py,MLKnow,Data Pre,-0.6096693089318658,-0.1268879104643457,-0.6762051894651938,-0.7429584115268241,-0.6796194249997043,-0.713760054559799,-0.756879493535956,-0.6151399704976699
Application,brendanhasz/probflow,src/probflow/core.py,Data Conf,Training,-0.3738855982952326,-0.3586217115890846,-0.6004589865854062,0.4924568993125622,1.195787552123719,0.4675501284295286,-0.4524363452980295,0.05291313401400808
Tool,RaRe-Technologies/gensim,gensim/corpora/csvcorpus.py,Data Conf,Data Pre,-0.0235783710636633,-0.3533550342907951,-0.4745432207592658,-0.7611837164285642,-0.6733261129959345,-0.749724142143817,0.00422837705886,-0.4330688886604543
Tool,BrikerMan/Kashgari,kashgari/tasks/classification/models.py,MCM,Modeling,-0.6231426638253877,-0.3480883569925055,-0.5325825190697524,0.8361340774596624,-0.6607394889883947,0.5653504278289246,-0.756879493535956,-0.21713543101762992
Tool,PetrochukM/PyTorch-NLP,lib/checkpoint.py,Weight Conf,Modeling,-0.6231426638253877,-0.321754970501058,-0.4686409192361654,-0.7728999838653972,-0.6229796169657754,-0.7284392739818472,-0.5285471323575112,-0.5809149372475917
Tool,yzhao062/pyod,pyod/models/base.py,MCC,Modeling,-0.5086191472304515,-0.3270216477993475,-0.4873315407259831,-0.6791698443707335,-0.6229796169657754,-0.6475200769178066,-0.3763255582385479,-0.5212810617498066
Tool,raamana/neuropredict,neuropredict/config_neuropredict.py,MLKnow,Evaluation,-0.6029326314851049,-0.321754970501058,-0.4814292392028829,-0.4487499181130187,-0.7677257930524826,-0.5988951625822719,-0.9091010676549192,-0.5900841117988198
Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/trainer/model_hooks.py,HP Conf,Training,-0.4816724374434078,1.2687815735823773,0.6616498224375482,-0.8158596311337847,-0.6922060490072441,-0.7877066223983666,-0.756879493535956,-0.22912754821411913
Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/callbacks/model_checkpoint.py,UMC,Evaluation,-0.3604122434017107,0.9843809994747432,0.7039496500197673,0.0029772819515409,0.0441114554338314,-0.2651264109734513,-0.3002147711790663,0.11566656590366496
Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/accelerators/ddp_spawn_backend.py,Data Conf,Training,-0.2863087914873403,-0.332288325097637,0.7039496500197673,-0.5971559723129028,-0.440473568856449,-0.5095354143505536,-0.3002147711790663,-0.2517181704663117
Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/accelerators/ddp_cpu_spawn_backend.py,Weight Conf,Training,-0.2526254042535356,-0.3480883569925055,0.7049333669402841,-0.8145578236408032,-0.7047926730147839,-0.7805505029301182,0.00422837705886,-0.3130647166903717
Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/trainer/connectors/accelerator_connector.py,MLKnow,Training,-0.5625125668045392,0.052179117677498,2.099843960232996,0.3440508451126781,1.3090671681915764,0.1269922378380107,-0.756879493535956,0.3732487526731806
